物品ID,物品名称,index(自动排序位置),BuildMode(建造类型),BuildIndex(建造栏位置)
160,集装分拣器,2013(极速分拣器)*2 + 1205(超级磁场环)*1 + 1303(处理器)*1 -> 2014(集装分拣器)*1,60(1.0s)
1000,低功率分馏塔,1101(铁块)*4 + 1104(铜块)*2 + 1202(磁线圈)*2 -> 2320(低功率分馏塔)*1,180(3.0s)
1001,建筑极速分馏塔,1101(铁块)*8 + 1108(石材)*4 + 1110(玻璃)*4 + 1301(电路板)*1 -> 2321(建筑极速分馏塔)*1,180(3.0s)
1002,增殖分馏塔,1107(钛合金)*8 + 1108(石材)*8 + 1119(钛化玻璃)*4 + 1305(量子芯片)*1 -> 2322(增殖分馏塔)*1,180(3.0s)
530,引力发生装置,1107(钛合金)*1 + 1127(奇异物质)*1 -> 9480(引力发生装置)*1,180(3.0s)
531,位面约束环,1205(超级磁场环)*2 + 1304(位面过滤器)*1 -> 9481(位面约束环)*2,180(3.0s)
532,引力钻头,9480(引力发生装置)*1 + 9481(位面约束环)*1 + 1209(引力透镜)*1 -> 9482(引力钻头)*1,180(3.0s)
533,隧穿激发装置,1206(粒子容器)*1 + 1404(光子合并器)*1 -> 9483(隧穿激发装置)*6,360(6.0s)
534,谐振盘,9483(隧穿激发装置)*3 + 1113(晶格硅)*2 + 1305(量子芯片)*1 -> 9484(谐振盘)*1,240(4.0s)
535,光子探针,1404(光子合并器)*2 + 1208(临界光子)*1 -> 9485(光子探针)*1,240(4.0s)
536,量子计算机,1305(量子芯片)*3 + 1402(粒子宽带)*2 + 9483(隧穿激发装置)*1 -> 9486(量子计算机)*1,720(12.0s)
537,星际组装厂组件,1125(框架材料)*3 + 2305(制造台MkIII)*3 + 1143(增产剂MkIII)*1 -> 9487(星际组装厂组件)*1,480(8.0s)
550,多功能集成组件,9500(多功能集成组件)*1 -> 9500(多功能集成组件)*1,60(1.0s)
538,物质解压器运载火箭,9482(引力钻头)*2 + 9484(谐振盘)*1 + 1802(氘核燃料棒)*2 -> 9488(物质解压器运载火箭)*1,480(8.0s)
539,科学枢纽运载火箭,9481(位面约束环)*3 + 9486(量子计算机)*1 + 1802(氘核燃料棒)*2 -> 9489(科学枢纽运载火箭)*1,480(8.0s)
540,谐振发射器运载火箭,9480(引力发生装置)*1 + 9484(谐振盘)*4 + 1802(氘核燃料棒)*2 -> 9490(谐振发射器运载火箭)*1,480(8.0s)
541,星际组装厂运载火箭,9487(星际组装厂组件)*2 + 1802(氘核燃料棒)*2 -> 9491(星际组装厂运载火箭)*1,480(8.0s)
542,晶体重构器运载火箭,9485(光子探针)*1 + 1802(氘核燃料棒)*2 + 1305(量子芯片)*2 -> 9492(晶体重构器运载火箭)*1,480(8.0s)
565,力场发生器Recipe,9480(引力发生装置)*1 + 9484(谐振盘)*2 -> 9503(力场发生器)*1,240(4.0s)
566,复合态晶体Recipe,5203(物质重组器)*1 + 1126(卡西米尔晶体)*1 + 1124(碳纳米管)*1 + 1118(钛晶石)*1 + 1120(氢)*1 -> 9504(复合态晶体)*1,600(10.0s)
567,电磁力抑制器Recipe,1305(量子芯片)*1 + 1205(超级磁场环)*2 -> 9505(电磁力抑制器)*1,360(6.0s)
568,胶子发生器Recipe,9483(隧穿激发装置)*1 + 1402(粒子宽带)*1 + 1122(反物质)*2 -> 9506(胶子发生器)*1,360(6.0s)
569,强力过载装置Recipe,9506(胶子发生器)*2 + 9486(量子计算机)*2 -> 9507(强力过载装置)*1,1200(20.0s)
570,导流框架Recipe,1125(框架材料)*3 + 9481(位面约束环)*2 + 9503(力场发生器)*3 -> 9508(导流框架)*1,180(3.0s)
571,恒星炮组件Recipe,1209(引力透镜)*3 + 9508(导流框架)*2 -> 9509(恒星炮组件)*1,480(8.0s)
572,恒星炮运载火箭Recipe,9509(恒星炮组件)*2 + 1802(氘核燃料棒)*2 + 1305(量子芯片)*2 -> 9510(恒星炮运载火箭)*1,360(6.0s)
573,水滴gmRecipe,9505(电磁力抑制器)*20 + 9507(强力过载装置)*20 + 9504(复合态晶体)*100 -> 9511(水滴)*1,3600(60.0s)


科技ID,科技名称,解锁配方
1,戴森球计划
1001,电磁学,风力涡轮机,电力感应塔,采矿机,低功率分馏塔
1002,电磁矩阵,电磁矩阵,矩阵研究站
1101,高效电浆控制,棱镜,电浆激发器,无线输电塔
1102,等离子萃取精炼,原油萃取站,原油精炼厂,等离子精炼
1103,X射线裂解,X射线裂解
1104,重整精炼,重整精炼
1111,能量矩阵,能量矩阵
1112,氢燃料棒,液氢燃料棒
1113,推进器,推进器
1114,加力推进器,加力推进器
1120,流体储存封装,储液罐,抽水站
1121,基础化工,化工厂,塑料,硫酸
1122,高分子化工,有机晶体,有机晶体原始
1123,高强度晶体,钛晶石
1124,结构矩阵,结构矩阵
1125,卡西米尔晶体,卡西米尔晶体,卡西米尔晶体高效
1126,高强度玻璃,钛化玻璃
1131,应用型超导体,石墨烯,石墨烯高效
1132,高强度材料,碳纳米管,碳纳米管高效
1133,粒子可控,粒子宽带,晶格硅高效
1134,重氢分馏,分馏塔,重氢分馏
1141,波函数干扰,位面过滤器,位面约束环
1142,微型粒子对撞机,微型粒子对撞机,重氢
1143,奇异物质,奇异物质
1144,人造恒星,人造恒星
1145,可控湮灭反应,湮灭约束球,反物质燃料棒
1151,增产剂 Mk.I,增产剂MkI,喷涂机
1152,增产剂 Mk.II,增产剂MkII
1153,增产剂 Mk.III,增产剂MkIII
1201,基础制造,制造台MkI
1202,高速制造,制造台MkII
1203,量子打印,制造台MkIII,多功能集成组件
1302,处理器,处理器
1303,量子芯片,量子芯片,谐振盘,量子计算机,星际组装厂组件
1304,光子聚束采矿,大型采矿机
1305,亚微观量子纠缠,量子化工厂
1311,半导体材料,微晶元件
1312,信息矩阵,信息矩阵
1401,自动化冶金,电弧熔炉,玻璃
1402,冶炼提纯,硅石,高能石墨,高纯硅块
1403,晶体冶炼,金刚石,金刚石高效,晶格硅
1411,钢材冶炼,钢材
1412,火力发电,火力发电厂
1413,钛矿冶炼,钛块
1414,高强度钛合金,钛合金
1415,移山填海工程,地基
1416,微型核聚变发电,微型聚变发电站,氘核燃料棒
1417,位面冶金,位面熔炉
1501,太阳能收集,太阳能板
1502,光子变频,光子合并器,光子合并器高效
1503,太阳帆轨道系统,太阳帆,电磁轨道弹射器
1504,射线接收站,射线接收站,光子探针
1505,行星电离层利用
1506,狄拉克逆变机制,质能储存
1507,宇宙矩阵,宇宙矩阵,增殖分馏塔
1508,任务完成 !,科学枢纽运载火箭
1511,能量储存,蓄电器
1512,星际电力运输,能量枢纽
1513,地热开采,地热发电站
1521,高强度轻质结构,框架材料,戴森球组件
1522,垂直发射井,垂直发射井,小型运载火箭,物质解压器运载火箭,谐振发射器运载火箭,星际组装厂运载火箭,晶体重构器运载火箭
1523,戴森球应力系统
1601,基础物流系统,传送带,分拣器,小型储物仓
1602,改良物流系统,四向分流器,高速分拣器,流速监测器,建筑极速分馏塔
1603,高效物流系统,高速传送带,极速分拣器,大型储物仓
1604,行星物流系统,极速传送带,行星内物流运输站,物流运输机
1605,星际物流系统,星际物流运输站,星际物流运输船
1606,气态行星开采,轨道采集器
1607,集装物流系统,自动集装机,集装分拣器
1608,配送物流系统,物流配送器,配送运输机
1701,电磁驱动,电动机
1702,磁悬浮,电磁涡轮
1703,粒子磁力阱,粒子容器,粒子容器高效,隧穿激发装置
1704,引力波折射,引力透镜,空间翘曲器,引力发生装置,引力钻头
1705,引力矩阵,引力矩阵,空间翘曲器高级
1711,超级磁场发生器,超级磁场环
1712,卫星配电系统,卫星配电站
1801,武器系统,高斯机枪塔,机枪弹箱
1802,燃烧单元,燃烧单元
1803,爆破单元,爆破单元
1804,晶石爆破单元,晶石爆破单元
1805,动力引擎,动力引擎
1806,导弹防御塔,导弹防御塔,导弹组
1807,聚爆加农炮,聚爆加农炮,炮弹组
1808,信号塔,信号塔
1809,行星防御系统,高频激光塔,行星护盾发生器
1810,干扰塔,干扰塔,干扰胶囊
1811,磁化电浆炮,磁化电浆炮,等离子胶囊,近程电浆塔
1812,钛化弹箱,钛化弹箱
1813,超合金弹箱,超合金弹箱
1814,高爆炮弹组,高爆炮弹组
1815,超音速导弹组,超音速导弹组
1816,晶石炮弹组,晶石炮弹组
1817,引力导弹组,引力导弹组
1818,反物质胶囊,反物质胶囊
1819,原型机,原型机
1820,精准无人机,精准无人机
1821,攻击无人机,攻击无人机
1822,护卫舰,护卫舰
1823,驱逐舰,驱逐舰
1824,压制胶囊,压制胶囊
1826,战场分析基站,战场分析基站
1901,数字模拟计算,自演化研究站
1902,物质重组,重组式制造台
1903,负熵递归,负熵熔炉
1904,高密度可控湮灭,奇异湮灭燃料棒
2101,机甲核心
2102,机甲核心
2103,机甲核心
2104,机甲核心
2105,机甲核心
2106,机甲核心
2201,机械骨骼
2202,机械骨骼
2203,机械骨骼
2204,机械骨骼
2205,机械骨骼
2206,机械骨骼
2207,机械骨骼
2208,机械骨骼
2301,机舱容量
2302,机舱容量
2303,机舱容量
2304,机舱容量
2305,机舱容量
2306,机舱容量
2307,机舱容量
2401,通讯控制
2402,通讯控制
2403,通讯控制
2404,通讯控制
2405,通讯控制
2406,通讯控制
2407,通讯控制
2501,能量回路
2502,能量回路
2503,能量回路
2504,能量回路
2505,能量回路
2506,能量回路
2601,无人机引擎
2602,无人机引擎
2603,无人机引擎
2604,无人机引擎
2605,无人机引擎
2606,无人机引擎
2701,批量建造
2702,批量建造
2703,批量建造
2704,批量建造
2705,批量建造
2801,能量护盾
2802,能量护盾
2803,能量护盾
2804,能量护盾
2805,能量护盾
2806,能量护盾
2807,能量护盾
2901,驱动引擎
2902,驱动引擎
2903,驱动引擎
2904,驱动引擎
2905,驱动引擎
2906,驱动引擎
2951,自动标记重建
2952,自动标记重建
2953,自动标记重建
2954,自动标记重建
2955,自动标记重建
2956,自动标记重建
3101,太阳帆寿命
3102,太阳帆寿命
3103,太阳帆寿命
3104,太阳帆寿命
3105,太阳帆寿命
3106,太阳帆寿命
3201,射线传输效率
3202,射线传输效率
3203,射线传输效率
3204,射线传输效率
3205,射线传输效率
3206,射线传输效率
3207,射线传输效率
3208,射线传输效率
3301,分拣器货物叠加
3302,分拣器货物叠加
3303,分拣器货物叠加
3304,分拣器货物叠加
3305,分拣器货物叠加
3306,分拣器货物集装
3311,集装分拣器改良
3312,集装分拣器改良
3313,集装分拣器改良
3314,集装分拣器改良
3315,集装分拣器改良
3316,集装分拣器改良
4001,配送范围
4002,配送范围
4003,配送范围
4004,配送范围
4005,配送范围
3401,运输船引擎
3402,运输船引擎
3403,运输船引擎
3404,运输船引擎
3405,运输船引擎
3406,运输船引擎
3407,运输船引擎
3501,运输机舱扩容
3502,运输机舱扩容
3503,运输机舱扩容
3504,运输机舱扩容
3505,运输机舱扩容
3506,运输机舱扩容
3507,运输机舱扩容
3508,运输机舱扩容
3509,运输机舱扩容
3510,运输机舱扩容
3801,运输站集装物流
3802,运输站集装物流
3803,运输站集装物流
3601,矿物利用
3602,矿物利用
3603,矿物利用
3604,矿物利用
3605,矿物利用
3606,矿物利用
3701,垂直建造
3702,垂直建造
3703,垂直建造
3704,垂直建造
3705,垂直建造
3706,垂直建造
3901,研究速度
3902,研究速度
3903,研究速度
3904,研究速度
4101,宇宙探索
4102,宇宙探索
4103,宇宙探索
4104,宇宙探索
5001,动能武器伤害
5002,动能武器伤害
5003,动能武器伤害
5004,动能武器伤害
5005,动能武器伤害
5006,动能武器伤害
5101,能量武器伤害
5102,能量武器伤害
5103,能量武器伤害
5104,能量武器伤害
5105,能量武器伤害
5106,能量武器伤害
5201,爆破武器伤害
5202,爆破武器伤害
5203,爆破武器伤害
5204,爆破武器伤害
5205,爆破武器伤害
5206,爆破武器伤害
5301,战斗无人机伤害
5302,战斗无人机伤害
5303,战斗无人机伤害
5304,战斗无人机伤害
5305,战斗无人机伤害
5401,战斗无人机射速
5402,战斗无人机射速
5403,战斗无人机射速
5404,战斗无人机射速
5405,战斗无人机射速
5601,战斗无人机耐久
5602,战斗无人机耐久
5603,战斗无人机耐久
5604,战斗无人机耐久
5605,战斗无人机耐久
5701,行星护盾
5702,行星护盾
5703,行星护盾
5704,行星护盾
5705,行星护盾
5801,地面编队扩容
5802,地面编队扩容
5803,地面编队扩容
5804,地面编队扩容
5805,地面编队扩容
5806,地面编队扩容
5807,地面编队扩容
5901,太空编队扩容
5902,太空编队扩容
5903,太空编队扩容
5904,太空编队扩容
5905,太空编队扩容
5906,太空编队扩容
5907,太空编队扩容
6001,结构强化
6002,结构强化
6003,结构强化
6004,结构强化
6005,结构强化
6006,结构强化
6101,电磁武器效果
6102,电磁武器效果
6103,电磁武器效果
6104,电磁武器效果
6105,电磁武器效果
6106,电磁武器效果
1918,尼科尔-戴森光束,导流框架Recipe,恒星炮组件Recipe,恒星炮运载火箭Recipe,力场发生器Recipe


模型ID,name,displayName,PrefabPath
1,1,,Ore/Prefabs/metal-ore-1
2,2,,Ore/Prefabs/stone-ore-1
3,3,,Ore/Prefabs/bamboo-ore-1
4,4,,Ore/Prefabs/fractal-ore-1
5,5,,Ore/Prefabs/mag-ore-1
6,6,,Ore/Prefabs/oilfield-1
7,7,,Ore/Prefabs/crystal-ore-1
8,8,,
9,9,,
10,10,,
11,11,,
12,12,岩石,Vegetation/Prefabs/stone-1
13,13,岩石,Vegetation/Prefabs/stone-2
14,14,岩石,Vegetation/Prefabs/stone-3
15,15,岩石,Vegetation/Prefabs/stone-4
16,16,岩石,Vegetation/Prefabs/stone-5
17,17,岩石,Vegetation/Prefabs/stone-6
18,18,岩石,Vegetation/Prefabs/stone-7
19,19,岩石,Vegetation/Prefabs/stone-8
20,20,岩石,Vegetation/Prefabs/stone-9
21,21,岩石,Vegetation/Prefabs/stone-10
22,22,岩石,Vegetation/Prefabs/stone-11
23,23,岩石,Vegetation/Prefabs/stone-12
24,24,有机植被,Vegetation/Prefabs/tree-1
25,25,有机植被,Vegetation/Prefabs/tree-2
26,26,有机植被,Vegetation/Prefabs/tree-3
27,27,有机植被,Vegetation/Prefabs/tree-4
28,28,有机植被,Vegetation/Prefabs/tree-5
29,29,有机植被,Vegetation/Prefabs/tree-6
30,30,岩石,Vegetation/Prefabs/iceburg-1
31,31,岩石,Vegetation/Prefabs/iceburg-2
32,32,岩石,Vegetation/Prefabs/iceburg-3
33,33,有机植被,Vegetation/Prefabs/grass-0
34,34,有机植被,Vegetation/Prefabs/grass-1
35,35,低速传送带,Entities/Prefabs/belt-1
36,36,高速传送带,Entities/Prefabs/belt-2
37,37,极速传送带,Entities/Prefabs/belt-3
38,38,四向分流器,Entities/Prefabs/splitter-a
39,39,四向分流器,Entities/Prefabs/splitter-b
40,40,四向分流器,Entities/Prefabs/splitter-c
41,41,低速分拣器,Entities/Prefabs/inserter-1
42,42,高速分拣器,Entities/Prefabs/inserter-2
43,43,极速分拣器,Entities/Prefabs/inserter-3
44,44,电力感应塔,Entities/Prefabs/tesla-tower-1
45,45,能量枢纽,Entities/Prefabs/energy-exchanger
46,46,蓄电器,Entities/Prefabs/accumulator
47,47,物流运输机,Entities/Prefabs/logistic-drone
48,48,星际物流运输船,Entities/Prefabs/logistic-vessel
49,49,物流运输站,Entities/Prefabs/logistic-station
50,50,星际物流运输站,Entities/Prefabs/interstellar-logistic-station
51,51,小型储物仓,Entities/Prefabs/storage-1
52,52,大型储物仓,Entities/Prefabs/storage-2
53,53,风力涡轮机,Entities/Prefabs/wind-turbine
54,54,火力发电厂,Entities/Prefabs/power-generator
55,55,太阳能板,Entities/Prefabs/solar-panel
56,56,人造恒星,Entities/Prefabs/fusion-reactor
57,57,采矿机,Entities/Prefabs/mining-drill
58,58,采矿底座,Entities/Prefabs/mining-drill-worker
59,59,采矿环,Entities/Prefabs/mining-drill-vein-effect
60,60,抽水站,Entities/Prefabs/water-pump
61,61,原油萃取站,Entities/Prefabs/oil-extractor
62,62,电弧熔炉,Entities/Prefabs/smelter
63,63,原油精炼厂,Entities/Prefabs/oil-refinery
64,64,化工厂,Entities/Prefabs/chemical-plant
65,65,制造台 Mk.I,Entities/Prefabs/assembler-mk-1
66,66,制造台 Mk.II,Entities/Prefabs/assembler-mk-2
67,67,制造台 Mk.III,Entities/Prefabs/assembler-mk-3
68,68,卫星配电站,Entities/Prefabs/orbital-substation
69,69,微型粒子对撞机,Entities/Prefabs/hadron-collider
70,70,矩阵研究站,Entities/Prefabs/lab
71,71,无线输电塔,Entities/Prefabs/charging-pole
72,72,电磁轨道弹射器,Entities/Prefabs/em-rail-ejector
73,73,射线接收站,Entities/Prefabs/ray-receiver
74,74,垂直发射井,Entities/Prefabs/vertical-launching-silo
75,75,小型运载火箭,Entities/Prefabs/rocket
76,76,有机植被,Vegetation/Prefabs/grass-2
77,77,有机植被,Vegetation/Prefabs/alien-tree-1
78,78,有机植被,Vegetation/Prefabs/alien-tree-2
79,79,有机植被,Vegetation/Prefabs/alien-tree-3
80,80,有机植被,Vegetation/Prefabs/alien-tree-4
81,81,有机植被,Vegetation/Prefabs/alien-tree-5
82,82,有机植被,Vegetation/Prefabs/alien-tree-6
83,83,有机植被,Vegetation/Prefabs/alien-tree-7
84,84,有机植被,Vegetation/Prefabs/alien-tree-8
85,85,有机植被,Vegetation/Prefabs/alien-tree-9
86,86,有机植被,Vegetation/Prefabs/alien-tree-10
87,87,有机植被,Vegetation/Prefabs/alien-tree-11
88,88,有机植被,Vegetation/Prefabs/alien-tree-12
89,89,有机植被,Vegetation/Prefabs/alien-tree-13
90,90,有机植被,Vegetation/Prefabs/alien-tree-14
91,91,有机植被,Vegetation/Prefabs/alien-tree-15
92,92,有机植被,Vegetation/Prefabs/alien-tree-16
93,93,有机植被,Vegetation/Prefabs/alien-tree-17
94,94,有机植被,Vegetation/Prefabs/alien-tree-18
95,95,有机植被,Vegetation/Prefabs/alien-tree-19
96,96,有机植被,Vegetation/Prefabs/alien-tree-20
97,97,有机植被,Vegetation/Prefabs/alien-tree-21
98,98,有机植被,Vegetation/Prefabs/alien-tree-22
99,99,有机植被,Vegetation/Prefabs/alien-tree-23
100,100,岩石,Vegetation/Prefabs/stylized-stone-1a
101,101,岩石,Vegetation/Prefabs/stylized-stone-1b
102,102,岩石,Vegetation/Prefabs/stylized-stone-1c
103,103,岩石,Vegetation/Prefabs/stylized-stone-2a
104,104,岩石,Vegetation/Prefabs/stylized-stone-2b
105,105,岩石,Vegetation/Prefabs/stylized-stone-2c
106,106,岩石,Vegetation/Prefabs/stylized-stone-3a
107,107,岩石,Vegetation/Prefabs/stylized-stone-3b
108,108,岩石,Vegetation/Prefabs/stylized-stone-3c
109,109,岩石,Vegetation/Prefabs/stylized-stone-4a
110,110,岩石,Vegetation/Prefabs/stylized-stone-4b
111,111,岩石,Vegetation/Prefabs/stylized-stone-4c
112,112,有机植被,Vegetation/Prefabs/alien-tree-24
113,113,有机植被,Vegetation/Prefabs/alien-tree-25
114,114,有机植被,Vegetation/Prefabs/alien-tree-26
115,115,有机植被,Vegetation/Prefabs/alien-tree-27
116,116,有机植被,Vegetation/Prefabs/alien-tree-28
117,117,轨道采集器,Entities/Prefabs/orbital-collector
118,118,微型聚变发电站,Entities/Prefabs/fusion-power-station
119,119,分馏塔,Entities/Prefabs/fractionator
120,120,喷涂机,Entities/Prefabs/spray-coater
121,121,储液罐,Entities/Prefabs/storage-tank
122,122,树35,Vegetation/Prefabs/alien-tree-29
123,123,有机植被,Vegetation/Ocean 1/Prefabs/oc1-tree-1
124,124,有机植被,Vegetation/Ocean 1/Prefabs/oc1-tree-2
125,125,有机植被,Vegetation/Ocean 1/Prefabs/oc1-tree-3
126,126,有机植被,Vegetation/Ocean 1/Prefabs/oc1-tree-4
127,127,有机植被,Vegetation/Ocean 1/Prefabs/oc1-tree-5
128,128,有机植被,Vegetation/Ocean 1/Prefabs/oc1-tree-6
129,129,有机植被,Vegetation/Ocean 1/Prefabs/oc1-grass-7
130,130,有机植被,Vegetation/Ocean 1/Prefabs/oc1-grass-8
131,131,有机植被,Vegetation/Ocean 1/Prefabs/oc1-grass-9
132,132,有机植被,Vegetation/Ocean 1/Prefabs/oc1-grass-10
133,133,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-1
134,134,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-2
135,135,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-3
136,136,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-4
137,137,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-5
138,138,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-6
139,139,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-7
140,140,岩石,Vegetation/Ocean 1/Prefabs/oc1-stone-8
141,141,岩石,Vegetation/Prefabs/alien-stone-1
142,142,岩石,Vegetation/Prefabs/alien-stone-2
143,143,岩石,Vegetation/Prefabs/alien-stone-3
144,144,岩石,Vegetation/Prefabs/alien-stone-4
145,145,岩石,Vegetation/Prefabs/alien-stone-5
146,146,岩石,Vegetation/Prefabs/alien-stone-6
147,147,岩石,Vegetation/Prefabs/alien-stone-7
148,148,岩石,Vegetation/Prefabs/alien-stone-8
149,149,岩石,Vegetation/Prefabs/alien-stone-9
150,150,岩石,Vegetation/Prefabs/alien-stone-10
151,151,岩石,Vegetation/Prefabs/alien-stone-11
152,152,岩石,Vegetation/Prefabs/alien-stone-12
153,153,岩石,Vegetation/Prefabs/alien-stone-13
154,154,岩石,Vegetation/Prefabs/alien-stone-14
155,155,岩石,Vegetation/Prefabs/alien-stone-15
156,156,岩石,Vegetation/Prefabs/alien-stone-16
157,157,岩石,Vegetation/Prefabs/alien-stone-17
158,158,岩石,Vegetation/Prefabs/alien-stone-18
159,159,岩石,Vegetation/Prefabs/alien-stone-19
160,160,岩石,Vegetation/Prefabs/alien-stone-20
161,161,岩石,Vegetation/Prefabs/alien-stone-21
162,162,岩石,Vegetation/Prefabs/alien-stone-22
163,163,岩石,Vegetation/Prefabs/alien-stone-23
164,164,岩石,Vegetation/Prefabs/alien-stone-24
165,165,岩石,Vegetation/Prefabs/alien-stone-25
166,166,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-1
167,167,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-2
168,168,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-3
169,169,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-4
170,170,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-5
171,171,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-6
172,172,有机植被,Vegetation/Ocean 3/Prefabs/oc3-tree-7
173,173,有机植被,Vegetation/Ocean 3/Prefabs/oc3-grass-8
174,174,有机植被,Vegetation/Ocean 3/Prefabs/oc3-grass-9
175,175,飞行舱,Vegetation/Ocean 1/Prefabs/space-capsule-dummy
176,176,有机植被,Vegetation/Ocean 2/Prefabs/oc2-tree-1
177,177,有机植被,Vegetation/Ocean 2/Prefabs/oc2-tree-2
179,179,有机植被,Vegetation/Ocean 2/Prefabs/oc2-tree-4
180,180,有机植被,Vegetation/Ocean 2/Prefabs/oc2-tree-5
181,181,有机植被,Vegetation/Ocean 2/Prefabs/oc2-tree-6
182,182,有机植被,Vegetation/Ocean 2/Prefabs/oc2-grass-7
183,183,有机植被,Vegetation/Ocean 2/Prefabs/oc2-grass-8
184,184,有机植被,Vegetation/Ocean 2/Prefabs/oc2-grass-9
185,185,有机植被,Vegetation/Ocean 6/Prefabs/oc6-tree-1
186,186,有机植被,Vegetation/Ocean 6/Prefabs/oc6-tree-2
187,187,有机植被,Vegetation/Ocean 6/Prefabs/oc6-tree-3
188,188,有机植被,Vegetation/Ocean 6/Prefabs/oc6-tree-4
189,189,有机植被,Vegetation/Ocean 6/Prefabs/oc6-tree-5
190,190,有机植被,Vegetation/Ocean 6/Prefabs/oc6-tree-6
191,191,有机植被,Vegetation/Ocean 6/Prefabs/oc6-grass-7
192,192,有机植被,Vegetation/Ocean 6/Prefabs/oc6-grass-8
193,193,有机植被,Vegetation/Ocean 6/Prefabs/oc6-grass-9
194,194,位面熔炉,Entities/Prefabs/smelter-2
195,195,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-1
196,196,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-2
197,197,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-3
198,198,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-4
199,199,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-5
200,200,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-6
201,201,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-7
202,202,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-8
203,203,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-9
204,204,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-10
205,205,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-11
206,206,岩石,Vegetation/Desert 1/Prefabs/ds1-stone-12
207,207,岩石,Vegetation/Desert 1/Prefabs/ds1-vfx-1
208,208,流速器,Entities/Prefabs/monitor
209,209,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-1
210,210,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-2
211,211,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-3
212,212,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-4
213,213,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-5
214,214,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-6
215,215,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-7
216,216,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-8
217,217,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-9
218,218,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-10
219,219,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-11
220,220,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-12
221,221,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-13
222,222,岩石,Vegetation/Desert 2/Prefabs/ds2-stone-14
223,223,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-1
224,224,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-2
225,225,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-3
226,226,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-4
227,227,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-5
228,228,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-6
229,229,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-7
230,230,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-8
231,231,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-9
232,232,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-10
233,233,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-11
234,234,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-12
235,235,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-13
236,236,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-14
237,237,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-15
238,238,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-16
239,239,岩石,Vegetation/Lava 1/Prefabs/lv1-stone-17
240,240,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-1
241,241,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-2
242,242,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-3
243,243,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-4
244,244,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-5
245,245,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-6
246,246,岩石,Vegetation/Desert 6/Prefabs/ds6-stone-7
